Year,name,value,reactor
1987,Annual Time Online (Hours),6005,BYRON-1
1987,Electricity Supplied (GWh),5355.66,BYRON-1
1988,Reference Unit Power (MWe),1105,BYRON-1
1988,Annual Time Online (Hours),6393,BYRON-1
1988,Electricity Supplied (GWh),6303.67,BYRON-1
1989,Reference Unit Power (MWe),1105,BYRON-1
1989,Annual Time Online (Hours),8737,BYRON-1
1989,Electricity Supplied (GWh),8945.52,BYRON-1
1990,Reference Unit Power (MWe),1105,BYRON-1
1990,Annual Time Online (Hours),7059,BYRON-1
1990,Electricity Supplied (GWh),6951.66,BYRON-1
1991,Reference Unit Power (MWe),1105,BYRON-1
1991,Annual Time Online (Hours),7148,BYRON-1
1991,Electricity Supplied (GWh),6318.07,BYRON-1
1992,Reference Unit Power (MWe),1105,BYRON-1
1992,Annual Time Online (Hours),8723,BYRON-1
1992,Electricity Supplied (GWh),8986.36,BYRON-1
1993,Reference Unit Power (MWe),1105,BYRON-1
1993,Annual Time Online (Hours),7104,BYRON-1
1993,Electricity Supplied (GWh),7366.86,BYRON-1
1994,Reference Unit Power (MWe),1105,BYRON-1
1994,Annual Time Online (Hours),7136,BYRON-1
1994,Electricity Supplied (GWh),6801.55,BYRON-1
1995,Reference Unit Power (MWe),1105,BYRON-1
1995,Annual Time Online (Hours),7228,BYRON-1
1995,Electricity Supplied (GWh),7706.54,BYRON-1
1996,Reference Unit Power (MWe),1105,BYRON-1
1996,Annual Time Online (Hours),6588,BYRON-1
1996,Electricity Supplied (GWh),6871.06,BYRON-1
1997,Reference Unit Power (MWe),1105,BYRON-1
1997,Annual Time Online (Hours),6737,BYRON-1
1997,Electricity Supplied (GWh),7161.73,BYRON-1
1998,Reference Unit Power (MWe),1105,BYRON-1
1998,Annual Time Online (Hours),7145,BYRON-1
1998,Electricity Supplied (GWh),7804.6,BYRON-1
1999,Reference Unit Power (MWe),1105,BYRON-1
1999,Annual Time Online (Hours),7944,BYRON-1
1999,Electricity Supplied (GWh),8908.49,BYRON-1
2000,Reference Unit Power (MWe),1105,BYRON-1
2000,Annual Time Online (Hours),8284,BYRON-1
2000,Electricity Supplied (GWh),9291.86,BYRON-1
2001,Reference Unit Power (MWe),1163,BYRON-1
2001,Annual Time Online (Hours),8760,BYRON-1
2001,Electricity Supplied (GWh),10389.9,BYRON-1
2002,Reference Unit Power (MWe),1163,BYRON-1
2002,Annual Time Online (Hours),8256,BYRON-1
2002,Electricity Supplied (GWh),9827.85,BYRON-1
2003,Reference Unit Power (MWe),1163,BYRON-1
2003,Annual Time Online (Hours),8248,BYRON-1
2003,Electricity Supplied (GWh),9858.83,BYRON-1
2004,Reference Unit Power (MWe),1152,BYRON-1
2004,Annual Time Online (Hours),8784,BYRON-1
2004,Electricity Supplied (GWh),10381.33,BYRON-1
2005,Reference Unit Power (MWe),1194,BYRON-1
2005,Annual Time Online (Hours),8135,BYRON-1
2005,Electricity Supplied (GWh),9589.71,BYRON-1
2006,Reference Unit Power (MWe),1164,BYRON-1
2006,Annual Time Online (Hours),7914,BYRON-1
2006,Electricity Supplied (GWh),9317.03,BYRON-1
2007,Reference Unit Power (MWe),1164,BYRON-1
2007,Annual Time Online (Hours),8482,BYRON-1
2007,Electricity Supplied (GWh),10024.16,BYRON-1
2008,Reference Unit Power (MWe),1164,BYRON-1
2008,Annual Time Online (Hours),8266,BYRON-1
2008,Electricity Supplied (GWh),9733.36,BYRON-1
2009,Reference Unit Power (MWe),1164,BYRON-1
2009,Annual Time Online (Hours),8169,BYRON-1
2009,Electricity Supplied (GWh),9609.39,BYRON-1
2010,Reference Unit Power (MWe),1164,BYRON-1
2010,Annual Time Online (Hours),8760,BYRON-1
2010,Electricity Supplied (GWh),10337.29,BYRON-1
2011,Reference Unit Power (MWe),1164,BYRON-1
2011,Annual Time Online (Hours),7759,BYRON-1
2011,Electricity Supplied (GWh),8978.8,BYRON-1
2012,Reference Unit Power (MWe),1164,BYRON-1
2012,Annual Time Online (Hours),7984,BYRON-1
2012,Electricity Supplied (GWh),8925.08,BYRON-1
2013,Reference Unit Power (MWe),1164,BYRON-1
2013,Annual Time Online (Hours),8760,BYRON-1
2013,Electricity Supplied (GWh),10283.27,BYRON-1
2014,Reference Unit Power (MWe),1164,BYRON-1
2014,Annual Time Online (Hours),8328,BYRON-1
2014,Electricity Supplied (GWh),9879.89,BYRON-1
2015,Reference Unit Power (MWe),1164,BYRON-1
2015,Annual Time Online (Hours),8158,BYRON-1
2015,Electricity Supplied (GWh),9456.59,BYRON-1
2016,Reference Unit Power (MWe),1164,BYRON-1
2016,Annual Time Online (Hours),8784,BYRON-1
2016,Electricity Supplied (GWh),10356.72,BYRON-1
2017,Reference Unit Power (MWe),1164,BYRON-1
2017,Annual Time Online (Hours),8098,BYRON-1
2017,Electricity Supplied (GWh),9593.03,BYRON-1
2018,Reference Unit Power (MWe),1164,BYRON-1
2018,Annual Time Online (Hours),8385,BYRON-1
2018,Electricity Supplied (GWh),9868.77,BYRON-1
2019,Reference Unit Power (MWe),1164,BYRON-1
2019,Annual Time Online (Hours),8760,BYRON-1
2019,Electricity Supplied (GWh),10459.12,BYRON-1
2020,Reference Unit Power (MWe),1164,BYRON-1
2020,Annual Time Online (Hours),8339,BYRON-1
2020,Electricity Supplied (GWh),9853.74,BYRON-1
2021,Reference Unit Power (MWe),1164,BYRON-1
2021,Annual Time Online (Hours),8315,BYRON-1
2021,Electricity Supplied (GWh),9739.71,BYRON-1
2022,Reference Unit Power (MWe),1164,BYRON-1
2022,Annual Time Online (Hours),8760,BYRON-1
2022,Electricity Supplied (GWh),10425.57,BYRON-1
2023,Reference Unit Power (MWe),1164,BYRON-1
2023,Annual Time Online (Hours),8315,BYRON-1
2023,Electricity Supplied (GWh),9835.73,BYRON-1
1987,Reference Unit Power (MWe),1129,BYRON-2
1987,Annual Time Online (Hours),5071,BYRON-2
1987,Electricity Supplied (GWh),3876.06,BYRON-2
1988,Reference Unit Power (MWe),1105,BYRON-2
1988,Annual Time Online (Hours),8419,BYRON-2
