Country,Year,Type,TWh,Popn,MWhPerCap
Russian Federation,2009,SolarPlusWindPlusBio,0.5012,145568655.2375281,0.0034430489117466888
Russian Federation,2010,Gas,520.5337681613573,145256312.04513732,3.583553518828189
Russian Federation,2010,Coal,166.09552145796388,145256312.04513732,1.1434650867795055
Russian Federation,2010,Oil,9.312085299990125,145256312.04513732,0.06410795626627547
Russian Federation,2010,Solar,0,145256312.04513732,0
Russian Federation,2010,Wind,0.004186,145256312.04513732,2.881802478021906e-5
Russian Federation,2010,Hydro,166.48370000000003,145256312.04513732,1.1461374563073476
Russian Federation,2010,Nuclear,170.41469999999998,145256312.04513732,1.1731999635722876
Russian Federation,2010,Biomass/Geo,0.536914,145256312.04513732,0.0036963212988166596
Russian Federation,2010,SolarPlusWind,0.004186,145256312.04513732,2.881802478021906e-5
Russian Federation,2010,SolarPlusWindPlusBio,0.5411,145256312.04513732,0.003725139323596879
Russian Federation,2011,Gas,521.296402494206,144910082.51247266,3.597378411880602
Russian Federation,2011,Coal,165.0109613543818,144910082.51247266,1.1387127692800745
Russian Federation,2011,Oil,27.47237523169491,144910082.51247266,0.18958222061139407
Russian Federation,2011,Solar,0.0012,144910082.51247266,8.280997286001228e-6
Russian Federation,2011,Wind,0.005392,144910082.51247266,3.7209281138432185e-5
Russian Federation,2011,Hydro,163.0552,144910082.51247266,1.1252163905569894
Russian Federation,2011,Nuclear,172.94129999999998,144910082.51247266,1.1934386966146031
Russian Federation,2011,Biomass/Geo,0.557208,144910082.51247266,0.00384519827978181
Russian Federation,2011,SolarPlusWind,0.006592,144910082.51247266,4.5490278424433404e-5
Russian Federation,2011,SolarPlusWindPlusBio,0.5638000000000001,144910082.51247266,0.003890688558206244
Russian Federation,2012,Gas,526.1110016135101,144529966.63953412,3.6401516851218862
Russian Federation,2012,Coal,169.16300707789912,144529966.63953412,1.1704355228961008
Russian Federation,2012,Oil,28.101205281689758,144529966.63953412,0.1944316873176602
Russian Federation,2012,Solar,0.004211506849315069,144529966.63953412,2.9139333158630034e-5
Russian Federation,2012,Wind,0.0052510000000000005,144529966.63953412,3.633156584818351e-5
Russian Federation,2012,Hydro,163.45430000000002,144529966.63953412,1.1309370907672336
Russian Federation,2012,Nuclear,177.53390000000002,144529966.63953412,1.2283535665844274
Russian Federation,2012,Biomass/Geo,0.502849,144529966.63953412,0.0034792023529219636
